ID,Site,Sub-layer,Raw.material,Termal.alteration,Cortex,Cortex.position.core,Class,Core.blank,Laminar_y.n,Carinated_y.n,Core.type,Core.classification,Core.classification.2,Core.classification.3,Blank.production,Length,Width,Thickness,Flaking.surface.length,Flaking.surface.width,Second.flaking.surface.length,Second.flaking.surface.width,Last.removal.blank,Last.removal.length,Last.removal.width,Platform.number,Striking.platform,Second.striking.platform,Flaking.direction,Reduction.pattern,Surfaces.number,Ratio_fsl_thickness,Ratio_l_t,Ratio_fsl_width,Ratio_l_w,Ratio_w_t,Volume,Area,Scanner,model.3D
Ca_1488,Cala,AU11,Radiolarite,FALSE,33-66%,Base;Lateral right,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated core,Carinated core,Bladelet,16.60000038,21.79999924,24.29999924,17.79999924,16.39999962,NA,NA,Bladelet,14.5,4.2,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.73251028,0.683127609,0.816513755,0.761467934,0.897119338,2970.395508,1313.471891,Artec.Micro,yes
Ca_1494,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,19.79999924,20.39999962,47,18.60000038,15,NA,NA,Flake,10.6,8.1,1,Ventral face,NA,Unidirectional,Sub-parallel,1,0.395744689,0.42127658,0.911764742,0.970588216,0.434042545,7310.231934,2555.016442,Artec.Micro,yes
Ca_1495,Cala,AU13,Chert,FALSE,1-33%,Left,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,14.9,17.3,30.9,14.5,18.9,NA,NA,Flake,11.6,9.1,1,Ventral face,NA,Unidirectional,Convergent,1,0.469255663,0.482200647,0.838150289,0.861271676,0.55987055,3527.0271,1518.423502,Artec.Micro,yes
Ca_1501,Cala,AU12,Radiolarite,FALSE,33-66%,Back;Lateral left;Lateral right,Core,Pebble,no,no,Bipolar,Bipolar,Bipolar,Bipolar,Flake,39.79999924,49,17,NA,NA,NA,NA,Flake,NA,NA,1,Dihedral,NA,Unidirectional,Sub-parallel,2,NA,2.341176426,NA,0.812244882,2.882352941,12849.00098,3545.400753,Artec.Micro,yes
Ca_1502,Cala,AU10,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet-Flake,14.60000038,25.10000038,30.79999924,13.6,18.4,NA,NA,Flake,13.6,9.1,1,Plain,NA,Unidirectional,Sub-parallel,1,0.441558452,0.474025998,0.541832661,0.581673313,0.814935098,4967.229492,1863.164409,Artec.Micro,yes
Ca_1504,Cala,AU13,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,13.30000019,22,31.70000076,12.1,21.1,NA,NA,Bladelet,11.4,3.3,1,Ventral face,NA,Unidirectional,Convergent,1,0.381703461,0.419558356,0.55,0.604545463,0.694006292,3770.031494,1561.686974,Artec.Micro,yes
Ca_1509,Cala,AU10,Chert,FALSE,0%,NA,Core-Tool,Flake,yes,yes,E - carinated,Carinated,Carinated endscraper,Carinated endscraper,Bladelet,23,33.59999847,32.40000153,22.79999924,28.79999924,NA,NA,Bladelet,21,7.4,1,Ventral face,NA,Unidirectional,Convergent,1,0.703703647,0.70987651,0.678571437,0.684523841,1.037036941,7816.996094,2503.842617,Artec.Micro,yes
Ca_1511,Cala,AU10,Chert,FALSE,1-33%,Lateral right,Core,Block,yes,no,D - platform,Semi-circumferential,Semi-circumferential,Semi-circumferential,Bladelet,35.09999847,25.29999924,23.20000076,35.5,26.29999924,NA,NA,Bladelet,27.8,7.4,1,Plain,NA,Unidirectional,Sub-parallel,1,1.530172363,1.512930919,1.403162098,1.38735176,1.090517173,7856.020996,2352.821708,Artec.Micro,yes
Ca_1512,Cala,AU10,Radiolarite,FALSE,0%,NA,Core,Flake,no,no,Bipolar,Bipolar,Bipolar,Bipolar,Flake,29.20000076,23.79999924,14.89999962,NA,NA,NA,NA,Flake,NA,NA,2,Dihedral,Cortical,Bidirectional,Sub-parallel,3,NA,1.959731645,NA,1.226890828,1.597315426,2798.08252,1342.657858,Artec.Micro,yes
Ca_1513,Cala,AU11,Chert,FALSE,0%,NA,Core,Undetermined,no,no,D - platform,Platform flake,Platform flake,Platform flake,Flake,30.29999924,25.79999924,19.5,NA,NA,NA,NA,Flake,NA,NA,1,Plain,NA,Unidirectional,Convergent,1,NA,1.553846115,NA,1.17441861,1.323076884,5001.072266,1792.232427,Artec.Micro,yes
