ID,Volume,Area,Scanner,model.3D
Ca_214,90452.41406,13550.67369,Artec.Spider,yes
Ca_215,73711.83594,9995.765123,Artec.Spider,yes
Ca_216,15214.80371,3688.450149,Artec.Spider,yes
Ca_217,24631.63672,5496.840507,Artec.Spider,yes
Ca_218,13073.15723,3410.762187,Artec.Spider,yes
Ca_219,10192.83105,2792.894525,Artec.Spider,yes
Ca_22,1114.279663,801.118839,Artec.Spider,yes
Ca_220,23480.46094,5354.010323,Artec.Spider,yes
Ca_221,15202.92969,3508.623535,Artec.Spider,yes
Ca_222,8123.443359,2477.115906,Artec.Spider,yes
Ca_223,40897.13281,7278.911756,Artec.Spider,yes
Ca_224,43546.51953,8477.493176,Artec.Spider,yes
Ca_225,36428.96484,6680.714103,Artec.Spider,yes
Ca_226,18894.06836,3854.974385,Artec.Spider,yes
Ca_227,9530.813477,2708.96767,Artec.Spider,yes
Ca_228,14745.81152,3650.45025,Artec.Spider,yes
Ca_229,7082.588379,2800.22926,Artec.Spider,yes
Ca_23,1745.226563,947.4365619,Artec.Spider,yes
Ca_230,5085.79834,2135.094729,Artec.Spider,yes
Ca_231,4181.955078,1632.590255,Artec.Spider,yes
Ca_232,5084.104004,1827.887081,Artec.Spider,yes
Ca_233,2659.619629,1242.070538,Artec.Spider,yes
Ca_234,2685.308594,1360.905467,Artec.Spider,yes
Ca_235,2934.264404,1385.55642,Artec.Spider,yes
Ca_236,3401.877197,1396.987018,Artec.Spider,yes
Ca_237,1844.560913,1019.016758,Artec.Spider,yes
Ca_238,2138.616699,1084.460018,Artec.Spider,yes
Ca_239,10235.75488,3662.583981,Artec.Spider,yes
Ca_24,1884.130737,1076.194843,Artec.Spider,yes
Ca_242,4011.376953,1939.408495,Artec.Spider,yes
Ca_245,2461.926514,1571.596532,Artec.Spider,yes
Ca_25,1819.062256,1127.325528,Artec.Spider,yes
Ca_250,1744.920776,2246.758569,Artec.Spider,yes
Ca_251,1209.586914,842.7606507,Artec.Spider,yes
Ca_26,1895.042725,1135.700974,Artec.Spider,yes
Ca_265,1057.151733,775.1988795,Artec.Spider,yes
Ca_27,2037.229614,1103.479635,Artec.Spider,yes
Ca_275,3349.481689,1452.113883,Artec.Spider,yes
Ca_276,2858.869629,1467.27416,Artec.Spider,yes
Ca_278,2535.092529,1352.842881,Artec.Spider,yes
Ca_28,3336.405762,1695.101055,Artec.Spider,yes
Ca_280,8857.977539,3105.106334,Artec.Spider,yes
Ca_281,4857.268555,2133.833355,Artec.Spider,yes
Ca_283,4277.669922,2142.385834,Artec.Spider,yes
Ca_284,4828.507813,2370.823319,Artec.Spider,yes
Ca_287,3073.181641,1926.954167,Artec.Spider,yes
Ca_288,3323.704346,1530.295114,Artec.Spider,yes
Ca_289,2650.982178,1323.640842,Artec.Spider,yes
Ca_29,4987.584961,2140.506413,Artec.Spider,yes
Ca_291,897.4729614,816.777446,Artec.Spider,yes
Ca_293,1056.415649,851.5295882,Artec.Spider,yes
Ca_3,2318.9021,1141.989158,Artec.Spider,yes
Ca_30,3467.727051,1469.45143,Artec.Spider,yes
Ca_300,627.5693359,624.1769642,Artec.Spider,yes
Ca_304,1406.260864,844.643544,Artec.Spider,yes
Ca_306,2147.831787,1341.374658,Artec.Spider,yes
Ca_307,19582.86328,4748.04928,Artec.Spider,yes
Ca_308,20296.86523,4666.78112,Artec.Spider,yes
Ca_309,17261.17773,4299.059664,Artec.Spider,yes
Ca_31,5687.731445,2058.973198,Artec.Spider,yes
Ca_310,7469.563477,2560.873097,Artec.Spider,yes
Ca_311,31685.23633,6488.624984,Artec.Spider,yes
Ca_312,13852.0332,4005.109319,Artec.Spider,yes
Ca_313,13378.32813,3798.520868,Artec.Spider,yes
Ca_314,4126.805176,1718.443829,Artec.Spider,yes
Ca_315,6320.495117,2112.859685,Artec.Spider,yes
Ca_316,27099.54297,5548.449608,Artec.Spider,yes
Ca_317,23881.27344,5559.573383,Artec.Spider,yes
Ca_318,15793.75391,3854.103907,Artec.Spider,yes
Ca_319,28308.71484,6539.5119,Artec.Spider,yes
Ca_32,4608.467285,1774.11487,Artec.Spider,yes
Ca_320,7437.748047,2347.249029,Artec.Spider,yes
Ca_321,3050.858398,1444.869361,Artec.Spider,yes
Ca_322,5302.193848,1893.982369,Artec.Spider,yes
Ca_323,2715.776367,1352.421438,Artec.Spider,yes
Ca_324,6238.23877,2187.719264,Artec.Spider,yes
Ca_325,40014.88672,6895.884934,Artec.Spider,yes
Ca_326,13187.59277,3628.112667,Artec.Spider,yes
Ca_327,4103.523926,1811.343647,Artec.Spider,yes
Ca_328,3524.308105,1493.98058,Artec.Spider,yes
Ca_329,10245.92285,3258.220686,Artec.Spider,yes
Ca_33,6283.228027,2141.225346,Artec.Spider,yes
Ca_330,15253.05371,3449.83888,Artec.Spider,yes
Ca_331,18277.73828,4259.055774,Artec.Spider,yes
Ca_332,35759.65625,6708.068897,Artec.Spider,yes
Ca_333,15217.5498,4014.518449,Artec.Spider,yes
Ca_334,17264.77734,4463.125885,Artec.Spider,yes
Ca_335,8405.554688,2441.172845,Artec.Spider,yes
Ca_336,11420.21777,3151.936173,Artec.Spider,yes
Ca_337,5020.657227,1945.568277,Artec.Spider,yes
Ca_338,6965.791504,2529.883393,Artec.Spider,yes
Ca_339,3784.645264,2053.618005,Artec.Spider,yes
Ca_34,4379.596191,1696.60126,Artec.Spider,yes
Ca_341,2235.781494,1202.765772,Artec.Spider,yes
Ca_342,2335.856934,1370.911128,Artec.Spider,yes
Ca_345,1459.15686,1051.94867,Artec.Spider,yes
Ca_348,938.951355,658.3345923,Artec.Spider,yes
Ca_349,2741.130615,1344.476038,Artec.Spider,yes
Ca_35,26491.27148,5656.688401,Artec.Spider,yes
Ca_350,2194.633301,1224.484716,Artec.Spider,yes
Ca_353,1215.631836,834.4801316,Artec.Spider,yes
Ca_355,9630.780273,2893.872825,Artec.Spider,yes
Ca_356,16373.61328,4357.138326,Artec.Spider,yes
Ca_357,1542.03064,1023.046813,Artec.Spider,yes
Ca_358,1037.496582,907.2035093,Artec.Spider,yes
Ca_359,1427.53479,1108.978859,Artec.Spider,yes
Ca_36,4630.280273,1767.78051,Artec.Spider,yes
Ca_360,13750.78223,4303.891408,Artec.Spider,yes
Ca_361,7424.905762,2346.564878,Artec.Spider,yes
Ca_362,4944.375,1943.378484,Artec.Spider,yes
Ca_363,4001.938477,1682.525827,Artec.Spider,yes
Ca_364,18557.53125,4487.518901,Artec.Spider,yes
Ca_369,2055.752197,1331.209903,Artec.Spider,yes
Ca_37,2441.075684,1268.504242,Artec.Spider,yes
Ca_370,1557.987915,1105.517369,Artec.Spider,yes
Ca_371,2591.940918,1428.406362,Artec.Spider,yes
Ca_372,33811.83203,6990.253322,Artec.Spider,yes
Ca_373,11304.70508,4267.81888,Artec.Spider,yes
Ca_374,3754.79126,2849.984694,Artec.Spider,yes
Ca_378,2118.713379,1262.542709,Artec.Spider,yes
Ca_379,4259.614746,1702.881986,Artec.Spider,yes
Ca_38,2796.625977,1215.795482,Artec.Spider,yes
Ca_380,1794.3396,1057.832596,Artec.Spider,yes
Ca_381,1413.050781,1029.429658,Artec.Spider,yes
Ca_382,688.326355,519.037699,Artec.Spider,yes
Ca_383,7823.672852,3461.004965,Artec.Spider,yes
Ca_384,3484.947998,2125.2879,Artec.Spider,yes
Ca_385,4223.986816,2239.638554,Artec.Spider,yes
Ca_386,2793.221924,1888.056324,Artec.Spider,yes
Ca_388,2565.918701,1520.476233,Artec.Spider,yes
Ca_389,819.2695313,865.5580962,Artec.Spider,yes
Ca_39,2102.728271,1066.526384,Artec.Spider,yes
Ca_392,6946.201172,3120.399457,Artec.Spider,yes
Ca_395,4031.341064,2209.933218,Artec.Spider,yes
Ca_396,6769.893066,2833.015437,Artec.Spider,yes
Ca_397,9859.675781,2958.241772,Artec.Spider,yes
Ca_398,4201.271973,1685.887866,Artec.Spider,yes
Ca_399,9332.424805,3495.771374,Artec.Spider,yes
Ca_4,9328.821289,3128.00916,Artec.Spider,yes
Ca_40,3247.829834,1546.61253,Artec.Spider,yes
Ca_400,2963.570068,1506.60361,Artec.Spider,yes
Ca_401,2699.508057,1325.676503,Artec.Spider,yes
Ca_402,3835.812988,1676.862091,Artec.Spider,yes
Ca_403,2719.49292,1593.557107,Artec.Spider,yes
Ca_404,2398.004639,1258.438673,Artec.Spider,yes
Ca_405,1970.54541,1103.507208,Artec.Spider,yes
Ca_406,4905.21875,2014.323635,Artec.Spider,yes
Ca_407,1718.432373,1114.49446,Artec.Spider,yes
Ca_408,1061.706055,766.1151752,Artec.Spider,yes
Ca_409,1788.859497,985.9086379,Artec.Spider,yes
Ca_41,1409.106079,862.880662,Artec.Spider,yes
Ca_410,1383.870483,902.1568375,Artec.Spider,yes
Ca_411,2558.165039,1319.78863,Artec.Spider,yes
Ca_412,1556.019287,930.4657426,Artec.Spider,yes
Ca_417,20273.87305,6013.885422,Artec.Spider,yes
Ca_418,5416.212402,2279.773202,Artec.Spider,yes
Ca_42,1281.744507,830.1436415,Artec.Spider,yes
Ca_423,2216.241211,1307.561068,Artec.Spider,yes
Ca_43,5794.444336,1976.943589,Artec.Spider,yes
Ca_432,3963.174561,1814.279341,Artec.Spider,yes
Ca_433,16367.58105,5135.282407,Artec.Spider,yes
Ca_434,1701.425049,1449.021876,Artec.Spider,yes
Ca_436,5579.08252,2449.439335,Artec.Spider,yes
Ca_44,9609.418945,2831.019316,Artec.Spider,yes
Ca_447,8369.113281,2509.428869,Artec.Spider,yes
Ca_448,12040.91602,3354.267561,Artec.Spider,yes
Ca_449,5770.73291,2245.931008,Artec.Spider,yes
Ca_45,8255.444336,2639.982473,Artec.Spider,yes
Ca_450,8172.747559,3324.978466,Artec.Spider,yes
Ca_451,1980.639038,1656.751249,Artec.Spider,yes
Ca_452,3203.574951,1758.175428,Artec.Spider,yes
Ca_453,1405.624634,1349.626833,Artec.Spider,yes
Ca_458,2844.022217,1641.610344,Artec.Spider,yes
Ca_46,6651.782227,2228.680404,Artec.Spider,yes
Ca_464,16578.0957,4189.11346,Artec.Spider,yes
Ca_466,86567.02344,13320.95226,Artec.Spider,yes
Ca_467,4415.00293,2283.615361,Artec.Spider,yes
Ca_469,2825.927979,1893.226851,Artec.Spider,yes
Ca_47,4322.386719,1689.696447,Artec.Spider,yes
Ca_470,1999.907837,1635.935372,Artec.Spider,yes
Ca_472,2230.5271,1683.538497,Artec.Spider,yes
Ca_473,1270.707275,1117.747061,Artec.Spider,yes
Ca_474,438.852478,642.3263196,Artec.Spider,yes
Ca_48,6602.419434,2398.374106,Artec.Spider,yes
Ca_483,4074.656494,1904.633758,Artec.Spider,yes
Ca_485,983.666687,792.7099565,Artec.Spider,yes
Ca_487,3428.023193,1528.848237,Artec.Spider,yes
Ca_489,2749.303711,1633.346837,Artec.Spider,yes
Ca_49,7164.547852,2748.813013,Artec.Spider,yes
Ca_497,675.2906494,719.4665151,Artec.Spider,yes
Ca_5,4639.98584,1857.956199,Artec.Spider,yes
Ca_50,6340.241699,2230.657616,Artec.Spider,yes
Ca_501,12327.87402,3957.265942,Artec.Spider,yes
Ca_502,4842.364746,1973.597122,Artec.Spider,yes
Ca_503,3852.720947,1888.696762,Artec.Spider,yes
Ca_505,7355.334961,2621.112554,Artec.Spider,yes
Ca_506,5138.83252,2439.591553,Artec.Spider,yes
Ca_507,5217.312012,2300.338162,Artec.Spider,yes
Ca_508,3739.63916,1578.451586,Artec.Spider,yes
Ca_51,5655.291016,2127.016976,Artec.Spider,yes
Ca_517,673.2589722,765.6203406,Artec.Spider,yes
Ca_518,1402.165771,892.3327728,Artec.Spider,yes
Ca_519,1137.156006,720.8571876,Artec.Spider,yes
Ca_52,4952.051758,1901.122651,Artec.Spider,yes
Ca_520,1527.863892,830.1768349,Artec.Spider,yes
Ca_521,1758.684204,1032.505159,Artec.Spider,yes
Ca_522,4915.174805,2145.169764,Artec.Spider,yes
Ca_523,5280.525879,2082.890373,Artec.Spider,yes
Ca_524,3116.657715,1514.66219,Artec.Spider,yes
Ca_525,2692.328613,1483.843235,Artec.Spider,yes
Ca_526,3468.241699,1536.018899,Artec.Spider,yes
Ca_527,1642.555054,1401.881265,Artec.Spider,yes
Ca_528,7607.953613,2605.245588,Artec.Spider,yes
Ca_529,9420.744141,2982.752626,Artec.Spider,yes
Ca_53,4944.871582,1874.481665,Artec.Spider,yes
Ca_530,70584.39063,12367.35187,Artec.Spider,yes
Ca_54,3566.158691,1516.929213,Artec.Spider,yes
Ca_55,4017.371582,1679.925016,Artec.Spider,yes
Ca_56,3006.576172,1340.638226,Artec.Spider,yes
Ca_57,2678.97583,1252.166475,Artec.Spider,yes
Ca_58,1144.127563,812.5776055,Artec.Spider,yes
Ca_59,2779.367188,1222.103983,Artec.Spider,yes
Ca_6,4248.004395,1878.601376,Artec.Spider,yes
Ca_60,3527.108643,1854.349742,Artec.Spider,yes
Ca_61,1764.635864,1110.239861,Artec.Spider,yes
Ca_62,1457.750366,934.1412908,Artec.Spider,yes
Ca_63,489.1698608,611.5868911,Artec.Spider,yes
Ca_64,1996.01355,1000.051467,Artec.Spider,yes
