ID,Site,Sub-layer,Raw.material,Fire,Cortex,Cortex.position,Class,Blank,Blank.technology,Technology,Preservation,Length,Width,Thickness,Platform.width,Platform.thickness,Platform.type,Platform.shape,Dorsal.thinning,Bulb,Bulbar.scars,Bulb.type,Shattered.bulb,Lip,Lip.type,Knapping.technique,Curvature,Torsion,Section,Blank.shape,Scar.pattern,Scar.Pattern.2,Distal.end,Plunging,Bladelet.negatives,Typology,Typology.new,Typology.macro,Aurignacian.retouch,Retouch.position,Dorsal.retouch.localization,Ventral.retouch.localization,left_right,unilateral_bilateral,Angle.retouch.left,Angle.retouch.right,Angle.retouch.base.apex,Retouch.type.left,Retouch.type.right,Retouch.type.base.apex,Retouch.shape.left,Retouch.shape.right,Retouch.shape.base.apex,Max.retouch.length,Bulin.spalls.negative,Torsion.simplified,Platform_ratio,Robustness,Elongation,Volume,Area,Scanner,model.3D
Ca_11,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,Optimal production,Optimal,Undetermined,16,26,25.10000038,NA,NA,Undetermined,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Crossed,Other,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.035856558,0.615384615,3217.052734,1391.778788,Artec.Spider,yes
Ca_12,Cala,AU12,Radiolarite,FALSE,1-33%,NA,Core-Tool,Flake,Debordant,Maintenance,Complete,12.60000038,22.39999962,29.39999962,9.399999619,3,Plain,Rectangular,FALSE,TRUE,FALSE,Pronounced,NA,FALSE,Absent,NA,Curved slightly,NA,Rectangular,Convex,Unidirectional,Unidirectional parallel,NA,TRUE,FALSE,Endscraper carinated;Endscraper thick-nosed,Endscraper thick-nosed,Endscraper,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.133333206,0.761904759,0.562500027,2895.134277,1439.156604,Artec.Spider,yes
Ca_13,Cala,AU12,Radiolarite,FALSE,0%,NA,Tool,Flake,Tablet,Maintenance,Complete,19.60000038,23.39999962,8,7.099999905,8.199999809,Faceted,Rectangular,FALSE,TRUE,FALSE,Pronounced,NA,FALSE,Absent,NA,Straight,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper flat-nosed,Endscraper flat-nosed,Endscraper,no,Direct,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,7.599999905,NA,NA,0.865853667,2.924999952,0.837606868,1525.496704,821.1826363,Artec.Spider,yes
Ca_14,Cala,AU12,Radiolarite,FALSE,0%,NA,Tool,Flake,Maintenance,Maintenance,Complete,26.39999962,16.39999962,6.599999905,12.5,5.199999809,Plain,Rectangular,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper;Flake retouched,Composite tool,Composite tool,no,Direct,Continuous right;Distal,NA,NA,NA,NA,NA,NA,NA,Scalariform,NA,NA,NA,NA,6.900000095,NA,NA,2.403846242,2.484848463,1.609756112,1344.233276,909.7140965,Artec.Spider,yes
Ca_15,Cala,AU12,Chert,FALSE,0%,NA,Core-Tool,Flake,Maintenance,Maintenance,Complete,14.80000019,31.29999924,36.59999847,8,3.5,Plain,Oval,FALSE,TRUE,FALSE,Moderate,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper carinated,Endscraper carinated,Endscraper,no,Direct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.19999981,NA,NA,2.285714286,0.855191272,0.472843468,4755.030273,2052.381101,Artec.Spider,yes
Ca_16,Cala,AU12,Chert,FALSE,0%,NA,Tool,Flake,Maintenance,Maintenance,Complete,33.79999924,19.89999962,15.19999981,NA,NA,Undetermined,Undetermined,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,Endscraper double,Endscraper,Endscraper,no,Direct,Distal;Proximal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,1.309210518,1.698492457,2401.36377,1361.466978,Artec.Spider,yes
Ca_17,Cala,AU12,Radiolarite,FALSE,1-33%,Left,Tool,Flake,Semi-cortical,Semi-cortical,Complete,24.10000038,21.89999962,7.800000191,NA,NA,Undetermined,Undetermined,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper,Endscraper,Endscraper,no,Direct,Continuous left,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,NA,NA,8.399999619,NA,NA,NA,2.80769219,1.100456658,2213.66626,1169.059965,Artec.Spider,yes
Ca_18,Cala,AU12,Radiolarite,TRUE,0%,NA,Tool,Flake,Optimal production,Optimal,Distal,22.79999924,17.89999962,5.800000191,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper,Endscraper,Endscraper,no,Direct,Distal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.199999809,NA,NA,NA,3.086206729,1.273743001,798.2290039,694.3687178,Artec.Spider,yes
Ca_19,Cala,AU12,Unknown,FALSE,1-33%,Left,Tool,Flake,Semi-cortical,Semi-cortical,Distal,24.70000076,15,6,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Unidirectional,Unidirectional parallel,NA,FALSE,FALSE,Endscraper flat-nosed,Endscraper flat-nosed,Endscraper,no,Direct,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,6.400000095,NA,NA,NA,2.5,1.646666718,1012.051208,709.6344287,Artec.Spider,yes
Ca_20,Cala,AU12,Radiolarite,FALSE,0%,NA,Tool,Flake,Optimal production,Optimal,Distal,27.29999924,16.60000038,8.300000191,NA,NA,NA,NA,FALSE,FALSE,FALSE,Absent,NA,FALSE,Absent,NA,NA,NA,NA,NA,Bidirectional,Bidirectional,NA,FALSE,FALSE,Endscraper,Endscraper,Endscraper,no,Direct,Distal,NA,NA,NA,NA,NA,NA,NA,NA,Lamellar,NA,NA,NA,7.5,NA,NA,NA,2,1.64457823,1601.66333,1025.128817,Artec.Spider,yes
